year,month,gov_gop,sen_gop,rep_gop,gov_dem,sen_dem,rep_dem,president,close,unemployment_rate
1947,January,23,51,253,23,45,198,dem,NA,NA
1947,February,23,51,253,23,45,198,dem,NA,NA
1947,March,23,51,253,23,45,198,dem,NA,NA
1947,April,23,51,253,23,45,198,dem,NA,NA
1947,May,23,51,253,23,45,198,dem,NA,NA
1947,June,23,51,253,23,45,198,dem,NA,NA
1947,July,23,51,253,23,45,198,dem,NA,NA
1947,August,23,51,253,23,45,198,dem,NA,NA
1947,September,23,51,253,23,45,198,dem,NA,NA
1947,October,23,51,253,23,45,198,dem,NA,NA
1947,November,24,51,253,23,45,198,dem,NA,NA
1947,December,24,51,253,23,45,198,dem,NA,NA
1948,January,22,53,253,24,48,198,dem,NA,3.4
1948,February,22,53,253,24,48,198,dem,NA,3.8
1948,March,22,53,253,24,48,198,dem,NA,4
1948,April,22,53,253,24,48,198,dem,NA,3.9
1948,May,22,53,253,24,48,198,dem,NA,3.5
1948,June,22,53,253,24,48,198,dem,NA,3.6
1948,July,22,53,253,24,48,198,dem,NA,3.6
1948,August,22,53,253,24,48,198,dem,NA,3.9
1948,September,22,53,253,24,48,198,dem,NA,3.8
1948,October,22,53,253,24,48,198,dem,NA,3.7
1948,November,22,53,253,24,48,198,dem,NA,3.8
1948,December,22,53,253,24,48,198,dem,NA,4
1949,January,18,45,177,29,58,269,dem,NA,4.3
1949,February,18,45,177,29,58,269,dem,NA,4.7
1949,March,18,45,177,29,58,269,dem,NA,5
1949,April,18,45,177,29,58,269,dem,NA,5.3
1949,May,18,45,177,29,58,269,dem,NA,6.1
1949,June,18,45,177,29,58,269,dem,NA,6.2
1949,July,18,45,177,30,58,269,dem,NA,6.7
1949,August,18,45,177,30,58,269,dem,NA,6.8
1949,September,18,45,177,30,58,269,dem,NA,6.6
1949,October,18,45,177,30,58,269,dem,NA,7.9
1949,November,18,45,177,30,58,269,dem,NA,6.4
1949,December,18,45,177,30,58,269,dem,NA,6.6
1950,January,18,44,177,29,57,269,dem,17.049999,6.5
1950,February,18,44,177,29,57,269,dem,17.219999,6.4
1950,March,18,44,177,29,57,269,dem,17.290001,6.3
1950,April,18,44,177,29,57,269,dem,17.959999,5.8
1950,May,18,44,177,29,57,269,dem,18.780001,5.5
1950,June,18,44,177,29,57,269,dem,17.690001,5.4
1950,July,18,44,177,29,57,269,dem,17.84,5
1950,August,18,44,177,29,57,269,dem,18.42,4.5
1950,September,18,44,177,29,57,269,dem,19.450001,4.4
1950,October,18,44,177,29,57,269,dem,19.530001,4.2
1950,November,18,44,177,29,57,269,dem,19.51,4.2
1950,December,18,44,177,29,57,269,dem,20.43,4.3
1951,January,24,47,207,22,51,242,dem,21.66,3.7
1951,February,24,47,207,22,51,242,dem,21.799999,3.4
1951,March,24,47,207,22,51,242,dem,21.48,3.4
1951,April,24,47,207,22,51,242,dem,22.43,3.1
1951,May,24,47,207,22,51,242,dem,21.52,3
1951,June,24,47,207,22,51,242,dem,20.959999,3.2
1951,July,24,47,207,22,51,242,dem,22.4,3.1
1951,August,24,47,207,22,51,242,dem,23.280001,3.1
1951,September,24,47,207,22,51,242,dem,23.26,3.3
1951,October,25,47,207,22,51,242,dem,22.940001,3.5
1951,November,25,47,207,22,51,242,dem,22.879999,3.5
1951,December,25,47,207,22,51,242,dem,23.77,3.1
1952,January,24,50,207,22,50,242,dem,24.139999,3.2
1952,February,24,50,207,22,50,242,dem,23.26,3.1
1952,March,24,50,207,22,50,242,dem,24.370001,2.9
1952,April,24,50,207,22,50,242,dem,23.32,2.9
1952,May,24,50,207,22,50,242,dem,23.860001,3
1952,June,24,50,207,22,50,242,dem,24.959999,3
1952,July,24,50,207,22,50,242,dem,25.4,3.2
1952,August,24,50,207,22,50,242,dem,25.030001,3.4
1952,September,24,50,207,22,50,242,dem,24.540001,3.1
1952,October,24,50,207,22,50,242,dem,24.52,3
1952,November,24,50,207,22,50,242,dem,25.66,2.8
1952,December,24,50,207,22,50,242,dem,26.57,2.7
1953,January,29,50,222,17,49,220,gop,26.379999,2.9
1953,February,29,50,222,17,49,220,gop,25.9,2.6
1953,March,29,50,222,17,49,220,gop,25.290001,2.6
1953,April,29,50,222,17,49,220,gop,24.620001,2.7
1953,May,29,50,222,17,49,220,gop,24.540001,2.5
1953,June,29,50,222,17,49,220,gop,24.139999,2.5
1953,July,29,50,222,17,49,220,gop,24.75,2.6
1953,August,29,50,222,17,49,220,gop,23.32,2.7
1953,September,29,50,222,17,49,220,gop,23.35,2.9
1953,October,30,50,222,18,49,220,gop,24.540001,3.1
1953,November,30,50,222,18,49,220,gop,24.76,3.5
1953,December,30,50,222,18,49,220,gop,24.809999,4.5
1954,January,29,55,222,18,53,220,gop,26.08,4.9
1954,February,29,55,222,18,53,220,gop,26.15,5.2
1954,March,29,55,222,18,53,220,gop,26.940001,5.7
1954,April,29,55,222,18,53,220,gop,28.26,5.9
1954,May,29,55,222,18,53,220,gop,29.190001,5.9
1954,June,29,55,222,18,53,220,gop,29.209999,5.6
